| Scientific Name           | Type Specimen | Synonyms                                        | Asterisk Note | Other Notes                                                                                                                            |
| ------------------------- | ------------- | ----------------------------------------------- | ------------- | -------------------------------------------------------------------------------------------------------------------------------------- |
| Leucetta losangelensis    |               |                                                 |               | the most common calcareous sponge in the Gulf, and one of the most common sponges in the region                                        |
| Sertularia versluysi      |               |                                                 |               | a transisthmian hydroid species                                                                                                        |
| Leptogorgia rigida        |               |                                                 |               | “purple pendant gorgonian” of the Narrative                                                                                            |
| Zoanthus depressus        | holotype      |                                                 | Yes           | type locality                                                                                                                          |
| Pleurobranchus areolatus  |               | Pleurobranchus digueti                          | Yes           | almost certainly a misidentification                                                                                                   |
| Planocera-like forms      |               |                                                 |               | flatworms                                                                                                                              |
| Crisia sp.                |               | C. operculata Robertson, 1910                   |               | likely C. operculata                                                                                                                   |
| Apionsoma misakianum      |               | Phascolosma hesperum, Golfingia hespera         | Yes           | junior synonym                                                                                                                         |
| Polydora sp.              |               | P. citron, P. websteri                          |               | attached to the tube of Spirobranchus; described by Olga Hartman in the mid-1940s                                                      |
| Eupomatus sp.             |               | E. brachyacantha, E. recurvispina, E. uncinatus |               | minute serpulids attached to tube of Spirobranchus; 3 species known from the Gulf today                                                |
| Spirobranchus incrassatus |               |                                                 |               | a large worm with anastomosing calcareous tubes; spiral gills banded red, white, and black                                             |
| Heliaster kubiniji        |               |                                                 |               | the most common of the Gulf sun stars                                                                                                  |
| Pentaceraster cumingi     |               | Oreaster occidentalis                           | Yes           | junior synonym; widespread Tropical East Pacific species                                                                               |
| Ophiocoma alexandri       |               |                                                 | Yes           |                                                                                                                                        |
| Eucidaris thouarsii       |               |                                                 |               | one of the most common urchins in the Gulf; collected “at practically every suitable collecting place”                                 |
| Echinometra vanbrunti     |               |                                                 | Yes           |                                                                                                                                        |
| Holothuria lubrica        |               | Slenkothuria lubrica                            | Yes           | the sulfur cucumber; the most common sea cucumber taken during the expedition, and the most common cucumber in the Gulf littoral today |
| Tetraclita stalactifera   |               | Tetraclita squamosa stalactifera                |               |                                                                                                                                        |
| Chthamalus anisopoma      |               |                                                 |               |                                                                                                                                        |
| Megabalanus californicus  |               | Balanus tintinabulum californicus               |               |                                                                                                                                        |
| Megabalanus peninsularis  |               | Balanus tintinabulum peninsularis               |               |                                                                                                                                        |
| Balanus trigonus          |               |                                                 |               |                                                                                                                                        |
| Petrolisthes hians        |               | Pisosoma flagraciliata                          | Yes           | junior synonym                                                                                                                         |
| Petrolisthes edwardsii    |               |                                                 | Yes           |                                                                                                                                        |
| Grapsus grapsus           |               |                                                 |               | Sally Lightfoot crab; taken at all rocky shore stations                                                                                |
| Pachygrapsus socius       |               | Pachygrapsus transversus                        | Yes           | as in Phyletic Catalogue, an Atlantic species                                                                                          |
| Percnon gibbesi           |               |                                                 | Yes           |                                                                                                                                        |
| Thoe sulcata              |               |                                                 |               |                                                                                                                                        |
| Pilumnoides sp.           |               | P. rotundus                                     |               | juvenile; only one species reported from the Gulf today, rare in the Gulf                                                              |
| Isognomon janus           |               | I. anomioides                                   | Yes           | junior synonym; very common, thin rock oyster on rocky shores in the Gulf                                                              |
| Saccostrea palmula        |               | Ostrea cumingiana, O. mexicana                  | Yes           | junior synonyms; fairly common edible oyster found throughout the Gulf and common in Northern Gulf shell middens                       |
| Chama echinata            |               |                                                 |               |                                                                                                                                        |
| Siphonaria aequilorata    |               | Siphonaria aequilirata                          | Yes           | misspelled as “aequilirata”; an intertidal pulmonate; the “sand flat limpet” of the Narrative                                          |
| Siphonaria maura          |               | Simnia variabilis                               | Yes           | an intertidal limpet                                                                                                                   |

